verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
değ	2896	0.001	33.0	0.064	6.4e-05	0.011395027624309393	-9.656627474604603	-4.474578192039127	-5.182
yitir	2887	0.001	1e-10	0.064	6.4e-05	3.4638032559750605e-14	-9.656627474604603	-30.99382410960339	21.337
hesapla	2864	0.001	1.0	0.064	6.4e-05	0.00034916201117318437	-9.656627474604603	-7.9599745280805365	-1.697
yak	2853	0.001	36.0	0.064	6.4e-05	0.012618296529968454	-9.656627474604603	-4.37260741275739	-5.284
aş	2807	0.001	3.0	0.064	6.4e-05	0.0010687566797292483	-9.656627474604603	-6.841259287693773	-2.815
uzaklaş	2781	0.001	1372.0	0.064	6.4e-05	0.49334771664868754	-9.656627474604603	-0.7065410459481343	-8.95
suçla	2774	0.001	1e-10	0.064	6.4e-05	3.6049026676279745e-14	-9.656627474604603	-30.953896530815232	21.297
dök	2761	0.001	27.0	0.064	6.4e-05	0.009779065555957986	-9.656627474604603	-4.627511345925825	-5.029
zorla	2736	0.001	1.0	0.064	6.4e-05	0.0003654970760233918	-9.656627474604603	-7.914252278742441	-1.742
kavuş	2725	0.001	444.0	0.064	6.4e-05	0.16293577981651375	-9.656627474604603	-1.8143991446651198	-7.842
türe	2716	0.001	1203.0	0.064	6.4e-05	0.4429307805596465	-9.656627474604603	-0.814341772703908	-8.842
kıl	2699	0.001	46.0	0.064	6.4e-05	0.017043349388662466	-9.656627474604603	-4.07199521652891	-5.585
kutla	2679	0.001	1.0	0.064	6.4e-05	0.0003732736095558044	-9.656627474604603	-7.893198869544609	-1.763
san	2669	0.001	1e-10	0.064	6.4e-05	3.746721618583739e-14	-9.656627474604603	-30.91531007934498	21.259
yarış	2656	0.001	29.0	0.064	6.4e-05	0.010918674698795181	-9.656627474604603	-4.517280680609851	-5.139
bestele	2635	0.001	2.0	0.064	6.4e-05	0.0007590132827324478	-9.656627474604603	-7.1834912804155175	-2.473
önle	2631	0.001	1e-10	0.064	6.4e-05	3.8008361839604716e-14	-9.656627474604603	-30.90097021098075	21.244
atla	2616	0.001	491.0	0.064	6.4e-05	0.18769113149847094	-9.656627474604603	-1.6729575847825688	-7.984
sok	2608	0.001	5.0	0.064	6.4e-05	0.0019171779141104294	-9.656627474604603	-6.256901010612443	-3.4
yarala	2582	0.001	1e-10	0.064	6.4e-05	3.872966692486445e-14	-9.656627474604603	-30.882170501347044	21.226
yorumla	2525	0.001	4.0	0.064	6.4e-05	0.0015841584158415843	-9.656627474604603	-6.44770198058957	-3.209
